Session,Date,Year,Lane17,Lane18,Lane19,Lane20,Lane21,Lane22,Lane23,Lane24,Lane25,Lane26,Lane27,Lane28,Lane29,Lane30,Lane31,Lane32,Lane33,Lane34
1a,Nov 11,2025,COYOTES,LO PLATICAMOS,CHEFCITOS,ASES Y REINAS,SPLIT HAPPENS,SUPERSONICOS,LINUX,KRONOS,PECHOCHOS,SPACE SOLUTIONS,FANTASTIC FOUR,CORSARIOS,LOS CAPIBARA,GUATEQUE,TROYANOS,LOS INTOCABLES,MIGHTY DUCKS,LOS 300
2a,Nov 18,2025,GUATEQUE,FANTASTIC FOUR,TROYANOS,KRONOS,LOS INTOCABLES,SPACE SOLUTIONS,LOS 300,SUPERSONICOS,CORSARIOS,LO PLATICAMOS,PECHOCHOS,CHEFCITOS,COYOTES,LINUX,MIGHTY DUCKS,LOS CAPIBARA,ASES Y REINAS,SPLIT HAPPENS
3a,Nov 25,2025,CHEFCITOS,LOS 300,LO PLATICAMOS,LOS CAPIBARA,PECHOCHOS,SPLIT HAPPENS,MIGHTY DUCKS,TROYANOS,COYOTES,FANTASTIC FOUR,ASES Y REINAS,LOS INTOCABLES,GUATEQUE,CORSARIOS,SUPERSONICOS,KRONOS,SPACE SOLUTIONS,LINUX
4a,Dec 02,2025,MIGHTY DUCKS,CORSARIOS,SUPERSONICOS,PECHOCHOS,GUATEQUE,LO PLATICAMOS,ASES Y REINAS,SPACE SOLUTIONS,KRONOS,LOS 300,LOS CAPIBARA,TROYANOS,CHEFCITOS,SPLIT HAPPENS,FANTASTIC FOUR,LINUX,COYOTES,LOS INTOCABLES
5a,Dec 09,2025,KRONOS,SPLIT HAPPENS,ASES Y REINAS,FANTASTIC FOUR,MIGHTY DUCKS,LINUX,COYOTES,CHEFCITOS,LOS CAPIBARA,PECHOCHOS,SUPERSONICOS,LO PLATICAMOS,LOS 300,LOS INTOCABLES,SPACE SOLUTIONS,CORSARIOS,GUATEQUE,TROYANOS
6a,Dec 16,2025,LOS CAPIBARA,SPACE SOLUTIONS,LOS 300,LINUX,SUPERSONICOS,GUATEQUE,KRONOS,LOS INTOCABLES,ASES Y REINAS,CORSARIOS,MIGHTY DUCKS,FANTASTIC FOUR,TROYANOS,PECHOCHOS,SPLIT HAPPENS,COYOTES,LO PLATICAMOS,CHEFCITOS
8a,Jan 20,2026,SUPERSONICOS,COYOTES,MIGHTY DUCKS,LOS INTOCABLES,LO PLATICAMOS,ASES Y REINAS,GUATEQUE,LOS 300,SPACE SOLUTIONS,KRONOS,SPLIT HAPPENS,LINUX,FANTASTIC FOUR,LOS CAPIBARA,CHEFCITOS,TROYANOS,CORSARIOS,PECHOCHOS
9a,Jan 27,2026,TROYANOS,ASES Y REINAS,SPLIT HAPPENS,GUATEQUE,CORSARIOS,LOS 300,LOS INTOCABLES,LO PLATICAMOS,MIGHTY DUCKS,CHEFCITOS,COYOTES,LOS CAPIBARA,SUPERSONICOS,SPACE SOLUTIONS,LINUX,PECHOCHOS,FANTASTIC FOUR,KRONOS
10a,Feb 03,2026,PECHOCHOS,LOS INTOCABLES,COYOTES,CORSARIOS,FANTASTIC FOUR,CHEFCITOS,SPLIT HAPPENS,LOS CAPIBARA,TROYANOS,LINUX,SPACE SOLUTIONS,GUATEQUE,KRONOS,LO PLATICAMOS,ASES Y REINAS,LOS 300,SUPERSONICOS,MIGHTY DUCKS
11a,Feb 10,2026,ASES Y REINAS,GUATEQUE,LINUX,CHEFCITOS,TROYANOS,COYOTES,PECHOCHOS,MIGHTY DUCKS,SUPERSONICOS,LOS INTOCABLES,CORSARIOS,KRONOS,SPLIT HAPPENS,FANTASTIC FOUR,LO PLATICAMOS,SPACE SOLUTIONS,LOS 300,LOS CAPIBARA
12a,Feb 17,2026,SPACE SOLUTIONS,CHEFCITOS,PECHOCHOS,COYOTES,LINUX,LOS CAPIBARA,TROYANOS,FANTASTIC FOUR,SPLIT HAPPENS,MIGHTY DUCKS,LO PLATICAMOS,LOS 300,ASES Y REINAS,SUPERSONICOS,KRONOS,GUATEQUE,LOS INTOCABLES,CORSARIOS
13a,Feb 24,2026,LO PLATICAMOS,LINUX,SPACE SOLUTIONS,LOS 300,ASES Y REINAS,KRONOS,SUPERSONICOS,CORSARIOS,LOS INTOCABLES,GUATEQUE,TROYANOS,SPLIT HAPPENS,MIGHTY DUCKS,COYOTES,LOS CAPIBARA,CHEFCITOS,PECHOCHOS,FANTASTIC FOUR
